id,name,email,signup_date,amount,category,activ
320001,Name_320001,user320001@example.com,2023-10-06,3563.99,E,True
320002,Name_320002,user320002@example.com,2023-01-27,1240.63,A,False
320003,Name_320003,user320003@example.com,2025-04-21,6240.25,B,True
320004,Name_320004,user320004@example.com,2023-10-12,8906.01,C,True
320005,Name_320005,user320005@example.com,2024-10-20,9311.29,E,False
320006,Name_320006,user320006@example.com,2019-11-30,3261.11,E,True
320007,Name_320007,user320007@example.com,2024-03-13,8304.37,A,False
320008,Name_320008,user320008@example.com,2022-09-14,5196.46,B,True
320009,Name_320009,user320009@example.com,2020-06-26,4403.68,C,False
320010,Name_320010,user320010@example.com,2022-04-02,7491.03,D,True
320011,Name_320011,user320011@example.com,2022-12-26,9447.35,E,True
320012,Name_320012,user320012@example.com,2025-05-03,5678.71,A,True
320013,Name_320013,user320013@example.com,2022-10-12,3074.73,C,True
320014,Name_320014,user320014@example.com,2024-10-03,6152.65,D,True
320015,Name_320015,user320015@example.com,2020-06-25,7552.72,D,True
320016,Name_320016,user320016@example.com,2024-08-05,969.5,E,True
320017,Name_320017,user320017@example.com,2022-04-06,7471.76,B,False
320018,Name_320018,user320018@example.com,2021-06-23,5072.9,A,True
320019,Name_320019,user320019@example.com,2024-11-18,9104.39,A,True
320020,Name_320020,user320020@example.com,2025-10-22,6451.2,E,True
320021,Name_320021,user320021@example.com,2020-04-25,9223.48,C,True
320022,Name_320022,user320022@example.com,2023-03-18,6926.68,C,True
320023,Name_320023,user320023@example.com,2019-03-27,1.57,A,True
320024,Name_320024,user320024@example.com,2024-12-12,1756.07,A,True
320025,Name_320025,user320025@example.com,2019-06-23,4134.94,D,True
320026,Name_320026,user320026@example.com,2024-03-03,7095.51,A,True
320027,Name_320027,user320027@example.com,2018-09-12,2175.18,C,True
320028,Name_320028,user320028@example.com,2021-12-31,5968.48,D,True
320029,Name_320029,user320029@example.com,2022-11-09,7956.7,D,False
320030,Name_320030,user320030@example.com,2023-09-03,548.22,E,True
320031,Name_320031,user320031@example.com,2025-08-24,813.12,A,True
320032,Name_320032,user320032@example.com,2018-11-29,9257.83,A,True
320033,Name_320033,user320033@example.com,2019-03-17,643.38,C,False
320034,Name_320034,user320034@example.com,2020-04-19,3342.63,B,True
320035,Name_320035,user320035@example.com,2021-05-04,2513.67,E,False
320036,Name_320036,user320036@example.com,2018-06-15,96.4,B,True
320037,Name_320037,user320037@example.com,2019-04-25,5198.77,A,True
320038,Name_320038,user320038@example.com,2025-01-08,4982.61,B,True
320039,Name_320039,user320039@example.com,2024-07-18,7815.25,D,True
320040,Name_320040,user320040@example.com,2024-06-24,4901.39,C,True
320041,Name_320041,user320041@example.com,2020-12-04,7271.2,D,True
320042,Name_320042,user320042@example.com,2023-03-05,9259.78,D,True
320043,Name_320043,user320043@example.com,2025-10-28,3460.66,C,False
320044,Name_320044,user320044@example.com,2018-06-24,3258.83,B,True
320045,Name_320045,user320045@example.com,2019-02-06,5159.43,D,True
320046,Name_320046,user320046@example.com,2021-05-23,1525.47,C,True
320047,Name_320047,user320047@example.com,2021-02-02,9538.98,A,False
320048,Name_320048,user320048@example.com,2024-06-28,4410.27,A,False
320049,Name_320049,user320049@example.com,2021-01-21,578.02,A,True
320050,Name_320050,user320050@example.com,2019-05-22,2133.81,A,True
320051,Name_320051,user320051@example.com,2025-08-30,1671.11,D,True
320052,Name_320052,user320052@example.com,2023-07-29,5471.62,B,True
320053,Name_320053,user320053@example.com,2018-12-07,5229.99,C,True
320054,Name_320054,user320054@example.com,2019-11-02,8225.82,B,False
320055,Name_320055,user320055@example.com,2025-10-13,33.27,B,False
320056,Name_320056,user320056@example.com,2020-12-27,6277.86,A,True
320057,Name_320057,user320057@example.com,2019-03-10,5284.57,E,True
320058,Name_320058,user320058@example.com,2020-01-19,4557.06,A,False
320059,Name_320059,user320059@example.com,2024-12-31,5370.56,B,True
320060,Name_320060,user320060@example.com,2025-02-04,3585.05,C,False
320061,Name_320061,user320061@example.com,2024-02-22,2666.69,E,False
320062,Name_320062,user320062@example.com,2021-07-02,6162.8,A,True
320063,Name_320063,user320063@example.com,2024-05-13,9107.36,C,True
320064,Name_320064,user320064@example.com,2022-05-05,8203.6,E,True
320065,Name_320065,user320065@example.com,2020-07-07,4201.5,B,True
320066,Name_320066,user320066@example.com,2018-11-27,1289.67,B,True
320067,Name_320067,user320067@example.com,2022-05-25,2914.94,A,True
320068,Name_320068,user320068@example.com,2018-09-07,6443.88,B,False
320069,Name_320069,user320069@example.com,2018-09-10,8202.77,A,True
320070,Name_320070,user320070@example.com,2022-12-24,9285.81,C,False
320071,Name_320071,user320071@example.com,2019-09-18,482.06,E,False
320072,Name_320072,user320072@example.com,2021-07-21,2793.19,E,True
320073,Name_320073,user320073@example.com,2020-01-22,4455.94,E,True
320074,Name_320074,user320074@example.com,2021-08-04,5521.41,C,True
320075,Name_320075,user320075@example.com,2018-03-01,5247.46,C,False
320076,Name_320076,user320076@example.com,2024-04-07,2949.13,C,True
320077,Name_320077,user320077@example.com,2021-06-07,9637.58,D,True
320078,Name_320078,user320078@example.com,2022-03-03,1938.52,B,False
320079,Name_320079,user320079@example.com,2021-12-11,7725.81,A,True
320080,Name_320080,user320080@example.com,2023-09-08,6236.21,E,True
320081,Name_320081,user320081@example.com,2020-04-10,2080.92,A,True
320082,Name_320082,user320082@example.com,2024-05-31,4687.24,B,False
320083,Name_320083,user320083@example.com,2025-10-11,568.84,A,False
320084,Name_320084,user320084@example.com,2024-12-10,3636.34,B,True
320085,Name_320085,user320085@example.com,2018-08-24,6480.59,A,False
320086,Name_320086,user320086@example.com,2018-04-29,1289.19,B,True
320087,Name_320087,user320087@example.com,2020-07-15,9505.75,E,True
