id,name,email,signup_date,amount,category,activ
120001,Name_120001,user120001@example.com,2018-04-25,1328.38,C,True
120002,Name_120002,user120002@example.com,2022-06-01,7611.37,C,True
120003,Name_120003,user120003@example.com,2024-05-16,4172.95,A,True
120004,Name_120004,user120004@example.com,2022-11-15,2083.1,A,True
120005,Name_120005,user120005@example.com,2019-12-19,9882.11,D,True
120006,Name_120006,user120006@example.com,2019-03-04,8425.12,A,True
120007,Name_120007,user120007@example.com,2023-07-27,9788.01,B,True
120008,Name_120008,user120008@example.com,2020-09-25,8244.56,D,True
120009,Name_120009,user120009@example.com,2024-04-08,5214.95,C,True
120010,Name_120010,user120010@example.com,2020-01-12,8710.2,C,False
120011,Name_120011,user120011@example.com,2025-02-07,5779.22,A,False
120012,Name_120012,user120012@example.com,2024-10-20,2319.76,D,True
120013,Name_120013,user120013@example.com,2021-04-20,4048.59,D,False
120014,Name_120014,user120014@example.com,2018-03-25,7130.37,B,False
120015,Name_120015,user120015@example.com,2020-05-19,6427.9,E,True
120016,Name_120016,user120016@example.com,2022-10-16,1690.9,D,True
120017,Name_120017,user120017@example.com,2020-08-22,5209.87,E,True
120018,Name_120018,user120018@example.com,2021-05-05,6599.89,B,True
120019,Name_120019,user120019@example.com,2018-04-11,6026.13,C,True
120020,Name_120020,user120020@example.com,2022-02-25,1418.95,B,True
120021,Name_120021,user120021@example.com,2024-07-03,2912.75,C,True
120022,Name_120022,user120022@example.com,2021-06-19,5924.64,C,True
120023,Name_120023,user120023@example.com,2020-12-08,3421.08,D,False
120024,Name_120024,user120024@example.com,2024-08-30,285.51,C,True
120025,Name_120025,user120025@example.com,2021-05-12,1022.0,C,False
120026,Name_120026,user120026@example.com,2021-11-15,1777.95,A,True
120027,Name_120027,user120027@example.com,2025-07-23,2225.21,D,True
120028,Name_120028,user120028@example.com,2019-04-19,7598.03,B,True
120029,Name_120029,user120029@example.com,2018-11-03,6977.86,D,True
120030,Name_120030,user120030@example.com,2025-05-19,9472.61,E,True
120031,Name_120031,user120031@example.com,2022-09-27,6183.29,E,True
120032,Name_120032,user120032@example.com,2020-08-27,5735.52,E,False
120033,Name_120033,user120033@example.com,2021-04-25,3303.42,B,True
120034,Name_120034,user120034@example.com,2018-11-03,7914.59,B,True
120035,Name_120035,user120035@example.com,2019-03-29,117.44,E,True
120036,Name_120036,user120036@example.com,2019-10-20,4449.48,A,True
120037,Name_120037,user120037@example.com,2025-10-11,6702.14,E,True
120038,Name_120038,user120038@example.com,2024-05-27,6098.21,E,True
120039,Name_120039,user120039@example.com,2021-03-30,8399.44,E,True
120040,Name_120040,user120040@example.com,2023-02-11,4507.95,D,True
120041,Name_120041,user120041@example.com,2020-09-28,2395.45,B,True
120042,Name_120042,user120042@example.com,2022-11-03,6713.98,D,False
120043,Name_120043,user120043@example.com,2025-03-22,8179.12,C,True
120044,Name_120044,user120044@example.com,2021-01-12,4517.04,E,True
120045,Name_120045,user120045@example.com,2019-01-08,1627.26,B,False
120046,Name_120046,user120046@example.com,2020-07-15,1536.14,A,False
120047,Name_120047,user120047@example.com,2020-08-21,4863.8,C,True
120048,Name_120048,user120048@example.com,2023-05-19,4510.54,E,True
